,colony,type,week,frame_position,growth,wood_distance,comb_distance
3379,DD5,DD,3,4,0,37.0,112.6454615153225
3380,SH4,SH,1,9,0,129.0,77.07788269017254
3381,SH3,SH,2,1,0,15.524174696260024,213.65392577717827
3382,DD5,DD,1,6,0,8.246211251235321,212.47588098417194
3383,SH1,SH,3,8,0,50.0,62.39390995922599
3384,SH3,SH,4,4,0,7.0,6.0
3385,SH3,SH,1,2,0,112.0714058089752,78.03204469959762
3386,DD4,DD,0,9,1,63.0,2.23606797749979
3387,SH4,SH,3,0,0,2.0,98.73196037757987
3388,SH3,SH,3,4,1,94.0,17.88854381999832
3389,DD6,DD,1,3,1,126.0,5.0
